business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,RestaurantsPriceRange
BJPoMcoKJxrs_QT4_PcL8A,Bloomsbury Cafe,16 Bloomsbury Street,London,XGL,WC1B 3QA,51.5175164253045,-0.127287250243864,4.0,23,,"Coffee & Tea Shops, Italian",1
-22PaX8rQyh0ZQrdCiDz4A,Fuckoffee,163-167 Bermondsey Street,London,XGL,SE1 3UW,51.4993814,-0.0812485,4.4,113,,"Coffee & Tea Shops, Sandwiches",1
gQy3USAE5suikfm2NBzMyg,MoCafe,25 Heddon street,London,XGL,W1B 4BH,51.5109135,-0.1396503,5.0,1,,Cafes,0
tYynO1nOy1GKxMV3jkxbmw,The Breakfast Club,33 D'Arblay Street,London,XGL,W1F 8EU,51.514733,-0.135406,3.9,606,,"Coffee & Tea Shops, Breakfast & Brunch, American",2
4LrPlD9U-E0oxyAFBCjChw,Tap Coffee No.114,114 Tottenham Court Road,London,XGL,W1T 5AQ,51.523831,-0.137085,4.9,7,,Coffee & Tea Shops,2
YNduANMPzIVE8CzBH7YjEQ,Regency Café,17-19 Regency Street,London,XGL,SW1P 4BY,51.4940143171,-0.13222007974201,4.5,515,,Cafes,1
XqYhhs7WWgOnP_e5x3Wg8g,Garden Shack Hideaway,55 York Rd,London,XGL,SE1 7NJ,51.5027676843354,-0.115942216752501,4.8,5,,"Coffee & Tea Shops, Sandwiches",0
UMJxTGTSShg2u1FFwZBWAQ,The Book Club,100 Leonard Street,London,XGL,EC2A 4RH,51.5245401,-0.0815927,3.7,128,,"Venues & Event Spaces, Cafes, Cocktail Bars",2
wzDJaIeVV89GVycKwMMeyw,Kioskafé,31 Norfolk Place,London,XGL,W2 1QH,51.516821580645,-0.172688003330827,4.9,7,,"Coffee & Tea Shops, Newsagents",2
lkethHYEgAT3gE-09fLWag,Yumchaa Soho,45 Berwick Street,London,XGL,W1F 8SF,51.515164726519,-0.13609727051977,4.1,167,,"Coffee & Tea Shops, Tea Rooms",1
Sh_PrXavTAk2d5jTs_onuQ,Nordic Bakery,14 Golden Square,London,XGL,W1F 9JG,51.5114297969411,-0.13674108684063,3.8,125,,"Bakeries, Cafes, Scandinavian",2
pOQwGM-8Qrwb8PGzLDGyeg,Queen Elizabeth Roof Garden Bar & Café,Queen Elizabeth Hall,Southbank Centre,XGL,SE1 8XX,51.50571,-0.116686820983887,3.9,14,,"Bars, Coffee & Tea Shops",2
BjPq77aiaKZAVUHIu2S3gA,The English Rose Cafe and Tea Shop,4 Lower Grosvenor Place,London,XGL,SW1W 0EJ,51.4980558,-0.1444512,4.2,274,,"Coffee & Tea Shops, Breakfast & Brunch, Cafes",2
Opa8XUwUghxbGFafvubV6A,Monmouth Coffee,27 Monmouth Street,London,XGL,WC2H 9EU,51.5143539,-0.1269168,4.4,349,,Coffee & Tea Shops,2
IWl1Y0eQOZSnYeIDw94svg,Monmouth Coffee,2 Park Street,London,XGL,SE1 9AB,51.5055383383613,-0.0914615294783139,4.4,328,,Coffee & Tea Shops,2
