business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,RestaurantsPriceRange
AEVMo0Tn3g2ttRgCq5N9gA,Bold Street Coffee,89 Bold Street,Liverpool,XMS,L1 4HF,53.4024686511486,-2.97683236940696,4.2,37,,Coffee & Tea Shops,2
o96x-7WB5f0Jla0-Tj_nNw,Afghan Cuisine,86 Wilmslow Road,Manchester,XGM,M14 5AL,53.4542441,-2.2247359,3.3,15,,"Afghan, Takeaway & Fast Food",1
LGxYYcKcrfatKzehclXtZA,Ariana,113 Wilmslow Road,Manchester,XGM,M14 5AN,53.4550095,-2.2247686,4.2,5,,"Persian/Iranian, Afghan, Seafood",1
AlTu149-jjaIjXzflV7mQA,Choupan,414 Cheetham Hill Road,Manchester,MAN,M8 9LE,53.509161,-2.2425152,4.8,5,,Persian/Iranian,2
_vLw5F_b8nEKW1zsvvKyhQ,Abaseen,484 Cheetham Hill Road,Manchester,XGM,M8 9JW,53.5108092,-2.2440217,1.0,1,,"Afghan, Middle Eastern",0
TDzLFZjfc-TnBtTCWWF30w,Armenian Taverna,3 Princess Street,Manchester,XGM,M2 4DF,53.4800803590548,-2.24490283393789,4.1,32,,"Middle Eastern, Armenian",2
i2gV85Dc2GtfI1DWeQHxxA,Curry Mile,Wilmslow Road,Manchester,XGL,M2 4WU,53.454578,-2.224719,4.8,11,,Indian,2
zqkhs0lGUmsqCZyZaEynLw,Yaya’s,96 Bury Old Road,Manchester,XGM,M8 5BW,53.5145962036788,-2.24679999053478,0.0,0,,"Asian Fusion, Afghan",0
mNcQprwXbJtv-tuR0MYOlA,Kebabish Express,674 Chester Road,Manchester,XGM,M32 0SF,53.461361,-2.28841,0.0,0,,"Indian, Afghan, Burgers",0
HvV9oNqT3Df32-R3_74x1Q,Peter Pan Fried Chicken,408 Manchester Road,Stockport,XGM,SK4 5BY,53.4279938646615,-2.17461436986923,0.0,0,,"Afghan, Chicken Shop, Pizza",0
YyVH6MSoUDTVLlWGGm01FQ,The Spice Lounge,Warrington Road,Warrington,WRT,WA3 5SJ,53.4525250467448,-2.5123977393133,4.7,3,,Indian,2
n2hTxfxo7DQXN7PvRp8ieg,Jollof Cafe,884 Hyde Road,Manchester,XGM,M18 7LH,53.4577864710377,-2.15702477842569,2.3,3,,"African, Cafes",0
6GLQaYHfjBDQ5yvipQke0Q,Africa Cavern,14 Newton Street,Manchester,XGM,M1 2AF,53.481029510498,-2.23344707489014,0.0,0,,African,0
_E04k1QnHD3t0f2eiNf1pw,Salford African Restaurant,233 Eccles New Road,Salford,XGM,M5 4QG,53.480109,-2.292426,0.0,0,,African,1
vuaQ5Q-jKsEclw4vwY9WBQ,Habesha,29-31 Sackville Street,Manchester,XGM,M1 3LZ,53.4773087,-2.2373552,4.3,22,,"Ethiopian, Halal, African",1
oMPZ9r64Drw9H73xC3qsxA,Africa Cavern,14 Newton Street,Manchester,XGM,M1 1,53.481190040568,-2.2336073948775,0.0,0,,African,0
iSF0guws2Np8AHemxF62Mw,Ifeoma African Restaurant,61 Kenyon Lane,Manchester,XGM,M40 9JG,53.5123755,-2.1964152,0.0,0,,African,0
jsvKryjASF5Uk5i4Ib6swA,Suya Cafe & Grill,Unit 106,Stretford,XGM,M32 9BD,53.4458254489486,-2.30830773711205,0.0,0,,"African, Cafes",0
r1Sskd0anB2EzlFWD3XyAA,Rose African Kitchen,67 Constable Street,Manchester,XGM,M18 8QQ,53.4677966,-2.1656621,0.0,0,,"Caribbean, African, Takeaway & Fast Food",0
nlpSlqDPtjZFbDyRf72CBA,Bahar Café,308 Claremont Road,Manchester,XGM,M14 4EP,53.4530181884766,-2.23658990859985,4.5,4,,"Ethiopian, African, Takeaway & Fast Food",0
fpKS0BXwD9nsLT60XJ48NA,Yettis Kitchen,299 liverpool road,Manchester,XGM,M30 0QN,53.4815595,-2.3571912,0.0,0,,"African, British, Cocktail Bars",0
fufo0Sl0NciAoH5Lr7aACw,Tinapa,853 Ashton old road,Manchester,XGM,M11 4,53.4815871989372,-2.17082860501441,0.0,0,,"Caribbean, African, Modern European",0
O4d1oSYBUzLRpX8Aa2iyzw,Imooluwa Restaurant & Bar,117 Princess Road,Manchester,XGM,M14 4RB,53.455624,-2.244782,0.0,0,,"African, Bars",0
eMU8YdGEguvTZXQbr5J0ww,Bibi's African Restaurant,Imex Business Park,Manchester,XGM,M13 0PD,53.455463,-2.201244,0.0,0,,African,0
UtnvzK_QUcpaBeaIpyVKBg,Q Bar,21 Newton Street,Manchester,XGM,M1 1FZ,53.4813501438217,-2.23384701836477,0.0,0,,"Caribbean, African",0
M-El6ab__2YVWoBFBKQV8A,Nando's,The Printworks,Manchester,XGM,M4 2BS,53.485117,-2.240668,3.9,29,,"Portuguese, Chicken Shop",2
NIIX580IQwPgWZot_RGS2Q,Yaba,110 Hulme High Street,Manchester,XGM,M15 5JP,53.461109,-2.248549,0.0,0,,African,2
GMEfrZvH9HX9SkITkcCLFA,Tae's Tavern,187-189 Chapel Street,Salford,XGM,M3 5EQ,53.4834686,-2.255267,1.0,1,,African,0
rVxswQ7cZZOxhMV1uxtmKQ,The Grillaz,198 Liverpool Road,Eccles,LAN,M30 0PF,53.4829178,-2.3524487,0.0,0,,"Caribbean, African",0
kG3vDuSUlLcnIJKf9CZDwQ,Ma A Helene,286 Moston Lane,Manchester,XGM,M40 9WB,53.5138016,-2.1981473,0.0,0,,"African, French",0
zPDV6A3J1w4wy8bIFSbgDA,Crystal Lounge,233 Eccles new road,Salford,SLF,M5 4QG,53.4801,-2.29242,0.0,0,,African,0
BaqnHFrxpr7JbWG8LhWPjw,Albion Freehouse & Bistro,600 Whitworth Road,Rochdale,RCH,OL12 0SW,53.6354793,-2.1667716,2.0,1,,"Pubs, African",0
PyUesoWPJygVvGIPu-rxYg,Red Spot Cafe Ltd,27 Reddish Lane,Manchester,XGM,M18,53.4569504190911,-2.16011568903923,0.0,0,,"African, Portuguese, Food Delivery",0
zcmsYXzbllCZydwizGnh5Q,Asmera Bella,37 Port Street,Manchester,XGM,M1,53.482029,-2.2321033,0.0,0,,African,0
pA5OAisI1ztc1yUsDd5vDw,Nando's,2 Hardman st,Manchester,XGM,M3 3HF,53.47935651,-2.25047003,3.9,31,,"Portuguese, Chicken Shop",2
JiC8xogshkCevaIjJWDlUg,Nando's,Manchester Arndale,Manchester,XGM,M4 3AQ,53.4834747,-2.2415178,3.7,21,,"Portuguese, Bars",2
KkWNkZK-f1Mq7SmuHQ3dHg,Aspire Lounge,Manchester Airport,Manchester,XGM,M90 3EX,53.3617860594819,-2.27415282279253,2.9,20,,Airport Lounges,2
pFS6OKvh7x-aDyFQNNAMNg,Escape Lounge,3 Terminal 2,Manchester,XGM,M90 4QX,53.3661080889075,-2.28061519320091,4.0,1,,Airport Lounges,0
VpUmH-qfTPUjd_bVoq8H6Q,Manchester Airport Terminal 3,Domestic Approach,Manchester,XGM,M90 1QX,53.360801,-2.270579,2.0,38,,Airport Terminals,0
nKn5OzLatxFDxiHUwJJw0Q,Virgin Holidays v-room Airport Lounge,Toronto Avenue,Manchester,XGM,M90 3NX,53.3668355504507,-2.27954594871824,0.0,0,,Airport Lounges,0
8f3gtkjTNDlZj9-cIAbu3A,British Airways Terraces Lounge,Terminal 3,Manchester,XGM,M90 1QX,53.360749,-2.270027,3.8,4,,Airport Lounges,0
LEyYYksg5-ISCIVlaPb8fA,Manchester Airport,Olympic House,Manchester,ABE,M90 1QX,53.36194,-2.270829,2.9,177,,Airports,0
j8g029sJ7Kw2OmwXx5ZoqQ,Styal Lounge,Manchester Airport,Gt Man,XGM,M90,53.365938695665,-2.28597129149683,1.5,2,,Airport Lounges,0
f9HPBobNTr-kRuyddG8Mlw,Manchester Airport Terminal 2,Atlanta Avenue,Manchester,XGM,M90 1QX,53.3618808,-2.2708405,2.4,16,,Airport Terminals,0
qn9SSRvmZtkSAQXrK2emIw,Manchester Airport Terminal 1,Ramp Road S,Manchester,XGM,M90 3AG,53.362698,-2.272067,2.7,39,,Airport Terminals,0
GQz87KBZD-TteYwhuF830w,Cloud 23,Beetham Tower,Manchester,XGM,M3 4LQ,53.4754431335909,-2.25036142645407,3.4,82,,"Lounges, Champagne Bars, Cocktail Bars",3
UfihRbpmny_moL7zUDUJtA,Beirut,34-36,Manchester,XGM,M14 5TQ,53.4557974,-2.2257026,4.2,12,,"Middle Eastern, Mediterranean, Halal",2
dtuteDwJa1L08xUCLCd3VQ,Wanasah Cafe,68-70 Wilmslow Road,Manchester,XGM,M14 5AL,53.4547355204745,-2.22498073355914,4.4,5,,Shisha Bars,2
M0BwaqDP4drg37p5PiZXtQ,Aladdin Restaurant,529 Wilmslow Road,Manchester,XGM,M20 4BA,53.4307934,-2.2284471,3.8,13,,Middle Eastern,2
xDUnHLY9xo_3a8dVFZeSwQ,Jaffa Restaurant,185 Wilmslow Road,Manchester,XGM,M14 5AP,53.4534695,-2.2231813,3.9,19,,"Mediterranean, Middle Eastern, Halal",1
TDzLFZjfc-TnBtTCWWF30w,Armenian Taverna,3 Princess Street,Manchester,XGM,M2 4DF,53.4800803590548,-2.24490283393789,4.1,32,,"Middle Eastern, Armenian",2
2imfjmbv4cQc7NPY7Xf3BA,Bakchich,Unit 4 The Quadrangle,Manchester,XGM,M1 5QS,53.4722389,-2.2401998,3.4,16,,Lebanese,2
6IzI0Trz6pfhimGMkqqW9Q,Comptoir Libanais,18-19 The Avenue,Manchester,XGM,M3 3HF,53.4800876536348,-2.25057723956844,3.9,17,,Lebanese,2
e83KDGgHko3BawfiOpLIdg,Al Jumeirah,430 - 432 Wilmslow Road,Manchester,XGM,M20 3BW,53.43502,-2.227865,3.0,1,,"Moroccan, Halal",0
HfUl-NLzPzMFiLZ_-6JsDw,Falafel,Unit 14 Ifco Centre,Manchester,XGM,M14 5TG,53.4557453,-2.22573,4.2,20,,Falafel,1
gIY0UtKnEVfAWbaXYltFvA,Kurdistan Restaurant,4 Grandale Street,Manchester,XGM,M14 5NS,53.453649,-2.225194,5.0,1,,Arabic,0
